Name;Date;Amount;Category;Notes
Dr. Alfredo O'Connell;2023-01-02;4044,23;Other;Video alter creta sperno color.
  Elbert McDermott I  ;24/11/2023;4692.21;Food; Curo pauci cornu cariosus. 
TARA BECKER;5-28-2023; 3282,83 ;FOOD;adaugeo amplexus depromo caste facere adipisci traho tutis ultra cur.
Ervin Turner;2023-06-21;2018.09;Office;Ipsam similique apostolus.
LUTHER DICKI;5/8/2023;2345,55; health ;Voro assentator talis corporis.
Jeannie Hilpert;2023-03-11;5305.34;Office; Sonitus tabesco debilito est auxilium theca deficio nesciunt varietas traho. 
Shelly Bartoletti;27/8/2023;7370,97;travel;Spoliatio tamdiu vulgaris itaque utpote aeternus fuga accommodo cado audacia.
Daniel Green;11/6/2023;1563,42;Travel;ARBOR SUBITO DEGENERO CUR BENIGNE MOLESTIAE.
Clarence Morar;8-19-2023;3294,33; Office ; Vulariter curiositas modi. 
June Beier;9-24-2023;1325,84; Food ;Decretum audentia arcesso ars adhaero templum vorax volup patrocinor volo.
eloise hudson;2023-02-19;5893.37;travel; Vitium aureus creo depulso stabilis inventore. 
MARYANN FEEST;2023-11-26;5094,32; Health ; Adsuesco cavus atqui accusamus astrum ullam contigo earum. 
April Schmeler;2023-03-25;8368.09; Food ;CONTURBO VICISSITUDO APPROBO.
Wilbert Osinski;15/7/2023;7445.64;Food;Temperantia contabesco denique consectetur deleniti adversus antea agnitio pecco ventus.
Travis Grimes;2023-08-10;1263.16;Health;Vae cras voluptates laudantium tardus perferendis cribro color vomica.
Nicolas Spinka V;8-6-2023;7413.58; Other ; SINT CLAM DEINDE USUS CAECUS DELINQUO BENE CURIA. 
Molly Stracke;2023-01-31;8658.38;office;ACQUIRO VITAE TREDECIM AEGRUS BESTIA TUTAMEN.
christopher medhurst;29/1/2023;1960.86;other;TOTAM DECET TURBO VOLUTABRUM TERGO CRAS ADFERO AEGER ALIOQUI.
Dan Rau;2023-01-23;252.61;Health; Spes defungo sordeo aetas. 
Leon Grady;2023-08-07;1716.42;food;Speciosus verumtamen odit.
  Caroline Kuvalis  ;2-11-2023;6760,61;Travel;desidero succedo deserunt tenuis thema creator synagoga textor velit terra.
Sophia Feeney;2023-05-07; 3446.19 ;FOOD;Amplitudo catena clam tolero verbum architecto vero.
Guadalupe Walter;18/3/2023;17.26; food ;ADHUC SORDEO VITO SUGGERO.
MAGGIE BINS;1-24-2023; 6733.24 ;Other;CRESCO CONTEGO CARMEN ARBOR CIRCUMVENIO.
  Gabriel Rice Sr.  ;9-10-2023; 4723.55 ;Office; Vilis adversus cotidie defetiscor. 
Shane Lindgren PhD;2023-12-08;1188.03;health; Deludo animus quo asperiores trado tutamen. 
Don Fay;6-9-2023;5508,30;Other;TERREO UXOR URBS ANCILLA TACTUS MINIMA ALIENUS.
mr. lamar hoeger i;2023-12-15;3347,78;food;Vulgus damnatio tonsor aptus cedo ademptio appello verus.
hannah pollich;28/11/2023;4494.59; Travel ; VER VULGO ANGULUS VILIS SUB. 
Darrin Wyman;2023-10-02;1152.64;Office;Solutio commodi universe anser atqui.
  Cornelius Rogahn  ;10/11/2023;8695.39; food ;thymbra demum quaerat brevis acquiro complectus.
becky stoltenberg-lind;16/2/2023;8680,00;other;CIVIS URBANUS CORROBORO STATIM DESINO COPIA.
Annette Bogan IV;2023-10-10; 2780.98 ;Health;Desolo suscipio subiungo.
Brad Bashirian;14/11/2023;7295,48;Food;Trans deripio alo conventus vestrum.
MELODY HAMMES;27/2/2023;5931,40;Health;ab compello cedo statua rerum cohors centum.
joseph stracke;15/10/2023;3305,72; OFFICE ;Curatio tabesco amplitudo adflicto balbus corpus.
  Minnie Abshire II  ;2023-12-04;9328,64; Health ;Cresco carmen creo.
Mrs. Jeanette Runolfsdottir;5-1-2023; 6743.12 ;Office; cinis teneo vaco succurro coniuratio vester volva cimentarius. 
LEVI ADAMS;12/1/2023; 8178,66 ;food;Ante bene confido.
  Lynne Mitchell IV  ;2023-05-31;8566.42;Food;vetus quo peior.
Dr. Raul Schaefer Sr.;7-14-2023;4103.51;Other;Sol charisma advoco pauci.
glen dubuque dvm;8-23-2023;9783.42;Other;quod approbo bis attonbitus crux amet creptio.
michele feil;12-22-2023;3957.35;TRAVEL;Canis calculus consectetur color sit vesica accusantium animi cur.
kelly mccullough;2023-10-10;2720.91;Other;Patruus cibus aureus taceo beatus succedo ambulo adipisci stultus crux.
dolores bahringer dvm;27/9/2023;3921,86;Office;Iste cursus calcar quod vapulus ultra conforto.
Miranda Ratke;18/6/2023; 5785,36 ;other;Bestia auditor victoria vorago consectetur suffoco tamquam aegrus viriliter.
alison schultz;28/7/2023;1219.69;Health;Truculenter attonbitus voluptate tabella maxime nisi blanditiis.
Forrest DuBuque;5/4/2023;3106,42;Health;Patrocinor defessus copia acer administratio quos conspergo suffoco congregatio theca.
Mr. Louis Halvorson;2023-05-23;6630.33;Health;compono molestias terra vergo decretum.
Connie Berge;2-8-2023;7822,13;Travel;Amaritudo vado utor cribro creator.
mr. troy terry;8-24-2023; 5844.89 ; office ; VOLUTABRUM APOSTOLUS VOLUBILIS AUT CORROBORO COGITO CURRICULUM VALETUDO. 
Gladys Veum;8-17-2023; 809,13 ;Food; Subito capto coerceo tumultus callide tenax adiuvo creta teres. 
Candice Kemmer;3-12-2023;995.00;TRAVEL; VACO CONSTANS ANNUS. 
Miss Yolanda O'Conner;25/3/2023; 5558,63 ;Food; vulticulus vito summopere sapiente tametsi peior stella collum virgo. 
Jonathan Gislason;12-20-2023;7931.67;HEALTH;CREBRO APOSTOLUS COHAERO ADVERSUS ABSTERGO ALVEUS CONATUS VENIAM ARX APPONO.
Emilio Mraz;11-19-2023;83.43;Office;Deripio texo pecto arbor timidus.
MITCHELL LIND;22/6/2023;7733,26;Travel;Tepesco cursim admoveo convoco.
Ivan Ziemann;1-15-2023;6251.41;Office; Tametsi audacia tandem compono adficio decimus denego. 
  Tara Lubowitz  ;2023-09-29;3434.13; Travel ;Dolore rem exercitationem rem.
  Irene Trantow  ;29/1/2023;4094.25;FOOD;AETERNUS DECET CUBO PAENS ALLATUS.
Susan Fay;10-5-2023;504,57;travel; Pax vulgus placeat defaeco termes solum crudelis comptus deludo depopulo. 
manuel corwin;2023-06-03;2441.53;Other;Torrens spectaculum vitium commodi sum audentia.
Percy Sauer;12-18-2023;9368,99;HEALTH; CILICIUM CONCULCO ACIDUS ILLO SUSTINEO VALENS SAPIENTE EUM CONSEQUUNTUR. 
Dr. Ramon Berge-Jacobi Jr.;2023-05-17;7025.36;Travel; adopto patrocinor alii temperantia ocer similique crebro atqui. 
  Mrs. Betsy Effertz  ;3-10-2023;2631,46;Travel;Victoria subseco auxilium patria bibo itaque expedita tunc.
Patti Tromp;17/2/2023;1823.73; Health ; CONOR VULGARIS CREATOR CRUSTULUM DOLORIBUS ADVOCO TRACTO. 
Melvin Mills;3-4-2023;6235.60;Food;Vilicus tollo desparatus.
Becky Howell;29/5/2023;2997.00;Travel;Vinum cariosus brevis vereor speculum.
Hilda Wyman;18/12/2023; 8344.24 ;HEALTH;TOTIDEM ATTONBITUS ADURO SUUS BIBO.
  Lorene Smith  ;18/10/2023;4058.35;HEALTH;Possimus arceo demergo vomica speciosus denego tripudio.
CRAIG MERTZ;5-16-2023;1836.99;Travel;Cursim arbustum vester casso totam beneficium.
  justin vandervort-o'connell  ;3/5/2023;999.55;Office;Non nisi incidunt commemoro defluo bestia aedificium decerno cribro.
CONSTANCE MURPHY;6/8/2023;1354.67;Health; Officia adulescens creta crinis sequi substantia. 
  MARLON THIEL  ;6-11-2023;2673,99; Other ;eum ventus calamitas clibanus spargo surculus barba ipsa maiores callide.
Rosemarie DuBuque;5-9-2023; 2546,10 ; Food ;Turba una curtus error thema versus tamen verto verumtamen spectaculum.
TRICIA MORAR II;25/8/2023;7161,34;Health; Tabgo strues creta tabernus circumvenio. 
Janis Prosacco;2023-04-29;8859.42;Travel;Aspicio absens paulatim allatus tendo truculenter.
Dr. Irvin Little;9-16-2023;6160.91; food ;Cervus blanditiis nostrum aperio alienus.
  MURIEL MCKENZIE  ;10-1-2023;4474.00;office; calcar vulgivagus beatae vomer apto caveo tamquam deprecator. 
Caleb Boehm;2023-02-10;9763.81;travel; ARANEA TENDO CRUENTUS. 
Elvira Grant;10-18-2023;8197.78;OFFICE;Aedificium sperno deporto turbo acceptus.
Benjamin Graham;11-5-2023; 2203,24 ;FOOD;Celebrer canonicus decretum.
Bert O'Kon III;5-14-2023;4284.22;Other; Solutio vehemens in. 
  Dr. Robert Stark IV  ;8-13-2023;881,95;Office;Alo cohaero sol administratio tabgo currus aestas delinquo volaticus solio.
kyle hessel;9-22-2023;5024.82; Other ;Arcus vos sublime traho aveho corrupti brevis infit cruentus corrumpo.
Mrs. Lorraine Hegmann;2023-12-30; 8422.26 ;Health;Videlicet comminor advenio demonstro vinculum armarium ipsa sunt.
Anthony Runolfsdottir;2-18-2023;1869.16;Food;quod solutio testimonium caelum.
DR. LENA WOLF;2023-09-21;5173.02;other;distinctio cibus optio xiphias.
Wanda Kutch Sr.;2023-05-11;7233.73;travel;Censura excepturi sint cenaculum molestiae artificiose.
Jeannie Rath;4/7/2023;9270.33;HEALTH; Temporibus utrum cito carbo. 
brian bechtelar;24/3/2023; 1655.06 ;Travel; Velum unus celebrer similique commemoro pecco arbustum. 
dominick lebsack;1-25-2023;8654,18;FOOD;ater tener vesica.
  emanuel graham  ;2023-08-28; 7317,09 ;office; Laboriosam astrum cresco. 
BOBBY MAYERT;1-27-2023;3171.89;Food;Ter utrum audax unus assumenda turbo depereo.
Miss Olivia Lindgren;6-14-2023;419.99; Office ;Ager adficio uter corona accedo speciosus chirographum tyrannus turbo tantillus.
Vera O'Keefe;2023-01-24;9517.62;HEALTH;Aliqua angustus atque vito cohors synagoga.
Raquel Bailey;2023-10-29;2794.43;Travel;Statim adeo vestrum traho contego reprehenderit aestivus.
Lana Turner;2023-12-12;4758.93;health;Infit abscido expedita spero vulgus socius aeger.
RACHEL VEUM;10-1-2023; 5296.24 ;office; Tenuis cuppedia debilito cernuus sum cinis. 
TERRELL POLLICH;20/2/2023;3606,64;travel;Aiunt esse qui spectaculum vitae amo cruciamentum timor cupio decor.
  dr. terrance donnelly  ;12-17-2023;7283.18; food ;vesco convoco consuasor cenaculum delectus valeo.
Delores Altenwerth;2023-01-19;7886.89;office; Celo pauci accusator usque tersus claustrum nisi umbra sumo. 
ora stoltenberg md;7-22-2023;6722,18;Travel;Vestrum ventito animadverto optio bene alias advenio consequuntur ustulo sodalitas.
Dallas Frami;9-20-2023;332.18; health ;Cohibeo capillus depopulo pauper.
erica harris;16/4/2023;1483.97;Office;Libero adeo ulciscor denique.
Sheri Auer;2023-09-11;6345.63;Food;Debilito strues absens volo.
Kelli Reilly-Ortiz;2023-05-30;5907.59;Food;Aperiam dolorum ante.
  Mrs. Katie Doyle  ;2023-06-13;7958,33;Food;CRAPULA SAPIENTE ILLO.
Tom Moore-Dach;1-26-2023;6189.78;other;TRISTIS PECCATUS DERIPIO VESPER UMERUS AMOR ET VITO.
  Aubrey Torp-Reichert  ;9-16-2023;6474.08; Office ; Vito supellex quo calamitas conitor conitor depopulo compono uxor comitatus. 
Dr. Carroll Erdman;16/5/2023; 3554,82 ;Other;VIA AT TOLLO.
CASEY CHAMPLIN-SCHAEFER;25/3/2023;633,22;food; summisse defluo xiphias itaque repellat. 
DR. FREDRICK SCHMELER;28/8/2023;8294,30;Office; Verecundia ante cunabula vulnero illum exercitationem. 
Kristi Russel;27/11/2023;6317.86;Health;Carbo adeptio trepide tardus.
Dr. Malcolm Schultz;11/4/2023;9194,42;OFFICE;Venustas commodi rem.
Lisa Larkin;2-24-2023;1.92;travel;Stips voveo conservo possimus debilito abutor cruentus surculus.
Shirley Rowe DVM;2023-06-13;8061,50;health;Quasi delibero tandem crapula demonstro fugiat adhaero viridis temeritas clam.
Ann Pagac;23/12/2023;6173.95;OTHER;umquam tibi charisma.
  lonnie murazik  ;17/1/2023; 4344.88 ; office ;bellum ulterius cicuta demum cras aestus stabilis arbor venustas cervus.
Elizabeth Braun;2023-06-23;5813,78; Office ; strenuus compono creo acquiro titulus. 
CARMEN KOSS;2023-08-01;1109.31;Office;ea artificiose arbitro sopor spoliatio culpa cohibeo absorbeo verecundia vigor.
Greg Ryan;2023-01-13;9708,54;FOOD; subnecto contego synagoga comparo benigne defero urbanus suggero cornu audentia. 
MR. TOM HAAG;11-26-2023;8460,76;Health;Templum recusandae conicio curatio animadverto carus consequuntur laudantium.
WHITNEY FRAMI;2023-02-25;4276.23;Food;solitudo fugit reprehenderit unde crux vulgus reprehenderit quae adfectus.
  jermaine dietrich  ;21/12/2023; 6239.72 ;FOOD;Admiratio creator ullus apparatus adipiscor triduana defungo arceo sollicito.
  Dr. Carlos Fisher  ;12-28-2023;2063,28;other;Cibo explicabo vester turbo atrox ratione.
Josh Wisozk;2023-08-13; 1627.52 ;Travel; DEDUCO CRUDELIS TOT APPARATUS NISI QUISQUAM VIRGA STRUES. 
  diana davis iii  ;7/1/2023; 2302,93 ;food;Ubi certus degenero deduco talus creator capto cotidie.
  danny christiansen  ;2023-10-17;8773.30;Other; Tendo bonus quibusdam bonus. 
Andre Cummings;4-27-2023;3933,53; HEALTH ;Arbor tam tutamen demum voluptatem copiose calamitas.
Miss Lora Heller;6-19-2023;1037.80;Food;Dolores amita reprehenderit repudiandae id vulticulus sursum.
Camille Bode;9-27-2023;5024.90;Travel;solutio quod vulgo decens vereor templum ulterius nulla.
  Cynthia Kiehn  ;5/2/2023;9756.23;Travel;Cresco vespillo caritas denuo pecus tres pecco antiquus tabesco.
MISS VICKI REMPEL-OKUNEVA JR.;1-23-2023;9130.68;FOOD;ACIES DEFENDO DOLOREMQUE AMBITUS SORDEO AQUA TUNC.
willard stanton;19/3/2023;5041,01;Health;CULPA NESCIUNT STRUES CAPILLUS IPSA.
Mr. Clifton Stracke;24/11/2023; 6070,56 ;OTHER;Dolor supra tracto abduco virgo cognomen suffoco theatrum blandior explicabo.
TRACEY ORTIZ;2023-05-13;105.91; Health ;Depono spargo uberrime tutis acquiro vester textilis.
Ann Krajcik;2-26-2023;9262.43;office;Somniculosus conatus terror tricesimus debitis.
  bryan cruickshank phd  ;2023-11-03;7498,42;Travel;Ultra averto vulariter.
SHERMAN STROSIN;7-25-2023;7508.03; Health ;Truculenter caecus consequuntur adaugeo tyrannus fuga video amoveo despecto.
  stacey boyle  ;19/3/2023;8528,85;Other;Caecus cruciamentum annus voveo.
Timmy Nikolaus;31/7/2023;4267,86; food ;Sub defero talio.
Miss Gail Ledner;2023-03-02; 7414.41 ;other;Tutis careo copiose volaticus iure trepide officiis suus venustas.
STEVE OBERBRUNNER;2023-04-28;8946.01;TRAVEL;Similique cunabula corrigo titulus sui bellum magnam absum utrum.
  krista collins ii  ;9-6-2023;2062.82;OTHER;Molestiae somnus alias torqueo.
Lorene Jakubowski;18/11/2023;8985.97;OTHER;Video cultellus carbo vitae sopor adaugeo cito acies uberrime.
  Pedro Block Jr.  ;4/10/2023;302.41;food;Aetas blanditiis utrimque adipiscor aperiam quae.
  Kelley Spinka  ;2023-05-18;155.49; Health ; Viridis defluo antepono. 
Melody Effertz;21/5/2023;1867.95;Office;Triumphus modi arbitro desipio veritas tactus sublime colligo uter tenus.
  Douglas Paucek  ;2023-02-16;4155,23;Food;adiuvo aliqua vester blanditiis succedo.
leo wuckert v;2023-09-27; 1068.52 ;office;CARUS CAELESTIS ASPICIO BLANDITIIS COGITO DELIBERO.
BARBARA JASKOLSKI;13/12/2023;7003.26;office;Hic odio demo cursim deficio adficio desidero deinde stillicidium.
VERONICA SHIELDS;2023-07-12;8412.21;FOOD;Molestias tribuo suffoco decerno thema repellat.
Mr. Homer Lynch;14/4/2023;112.97;Health;Solutio armarium maxime soleo officiis numquam video.
OMAR KUVALIS;6-1-2023;6018,82;Travel;Asperiores cohibeo vomer tempora.
MS. ESTHER METZ;8/5/2023;7612.44;travel;Eum quaerat conor careo sit dolores caelestis tempora assumenda.
MANDY KREIGER;12-18-2023;5246.43; OTHER ;Peior contabesco ex stips eos aestus ad vesica verecundia creptio.
  STEWART BARTON  ;2023-07-22;1447.65; Travel ;TEPESCO COMBURO VOCO DEPEREO SOLUM CHARISMA QUO THORAX COLO VORO.
Guadalupe Walter;6-27-2023;1407.39; Travel ;Suffragium decimus speculum vix.
Mrs. Inez Buckridge;2023-11-28;8200.55;Other;Volubilis voluptatum libero conspergo viduo vomer.
Mona Jacobi;9/2/2023;3039.29;OFFICE;IPSAM CONATUS CONTIGO DEMERGO ADMITTO USTULO ACQUIRO VACO CHIROGRAPHUM.
Marie Harris;6-19-2023;1041,16;Food;ARS XIPHIAS ANGELUS TENUIS CULTELLUS EXPLICABO.
Bradley Hoeger;10-8-2023;6271.56;Health;QUO SUBLIME ASPERIORES.
Judith Kutch;7-13-2023; 7210.92 ;HEALTH;Tot utilis ullam solitudo sufficio valde.
Jessie Lockman;8-7-2023;7432.22;Other;Surculus defero minima torqueo assumenda audentia attollo despecto carus.
Charlie O'Kon;6/3/2023;524.46; food ; Pauci degusto baiulus vivo cauda iste paulatim. 
Katrina Kozey;24/10/2023;2020.47; health ;Argumentum adversus villa.
evelyn ledner;12/5/2023;4756.88;Travel;demonstro sequi tribuo cumque.
STELLA CASSIN SR.;9-2-2023;8658.08; Travel ;coniecto possimus verus vehemens utilis blanditiis uredo damnatio suggero.
Whitney Cummerata IV;10-3-2023;3062.45;health;Solvo sit suspendo annus tristis demoror conitor allatus.
Thelma Wisoky-Cartwright;23/4/2023;6250.87; office ;DEPRIMO CIVITAS CUPIO SUM.
Miss Francis Glover;11/6/2023;2231.83;Office; Sperno temperantia claudeo cruentus votum certus. 
DR. ARTURO KERLUKE;2023-02-19;9776.17;Health;Uredo cometes blanditiis vix aggero articulus.
  Tricia Collier  ;27/4/2023;319.80;Travel; quod administratio conscendo denuncio currus supellex appositus attero. 
Frank Kub-Jacobson;11-10-2023; 9262.01 ;health;claro volutabrum deinde cito aeneus curso.
bert turner;2023-04-28;5628.36;Other; suadeo blandior contra angustus celo auctus patior virga curis. 
leonard schumm;2023-05-31; 8135,34 ;health;Temperantia perspiciatis dolorem thorax cogito.
sophia pfannerstill;27/10/2023; 2710.80 ; Travel ;Teres decipio vero utpote soluta cohors aqua ara.
  ELLEN POUROS  ;8-22-2023;5053.55; Health ; Voco alo vicissitudo dapifer conqueror comitatus paens. 
BOB KRAJCIK;26/4/2023;3389,32; Food ;Adipiscor voco cuius vilicus advenio defungo.
Jeremiah Sporer;2023-05-09;5018.33;Other;Adfectus sumo quas.
Lisa Hackett;13/5/2023;1150,27;Other;Deficio conforto vulnus patrocinor ulciscor cado.
jean krajcik;12-2-2023;2000.32;Food; Templum dapifer cornu amaritudo accommodo commodo stipes voro bos cedo. 
Ronnie Ferry;14/4/2023;9692.24;health;Aufero denique auxilium alveus angulus nam.
howard brekke;28/3/2023;6268.69;Office;Synagoga denuo mollitia temptatio utor cupiditas.
francisco klein;2-10-2023;1167.29;Other;Arcesso conatus eius sed delego vitiosus perspiciatis provident spoliatio.
  gary rutherford  ;4-12-2023;619.88;Other; Aeger amplexus theca absque esse dapifer aliquam capitulus aperiam textor. 
jeannette wintheiser;3-26-2023;439.29;OTHER;UTERQUE DEPRIMO SUBLIME VENTOSUS.
  alexis beier  ;2023-10-31; 9157.48 ;Health;DEINDE CARIES SUPPONO.
marion ritchie;2023-10-06; 1013.02 ;Other;Defleo tersus vomer bardus conqueror.
Mr. Andres Johnston;6-4-2023;1019.49;Food;Solus atavus verumtamen amplitudo condico aspicio.
  June Purdy  ;1-3-2023;7035,17;travel; Animadverto at turbo uter demulceo angelus. 
  Rogelio Conroy  ;2023-03-03; 2609,88 ;Health;Victoria culpo delectatio apparatus vergo valetudo utroque calamitas vulgo.
